timestamp: 394560550885250, price: 1002.08, quantity: 590, buyer_order_id: 176, seller_order_id: 178
timestamp: 394560656311291, price: 999.142, quantity: 485, buyer_order_id: 179, seller_order_id: 180
timestamp: 394560656316291, price: 997.427, quantity: 450, buyer_order_id: 175, seller_order_id: 180
timestamp: 394560709622708, price: 997.427, quantity: 389, buyer_order_id: 175, seller_order_id: 181
timestamp: 394560709635000, price: 997.202, quantity: 56, buyer_order_id: 170, seller_order_id: 181
timestamp: 394560763890500, price: 997.202, quantity: 25, buyer_order_id: 170, seller_order_id: 182
timestamp: 394560763900541, price: 996.161, quantity: 155, buyer_order_id: 173, seller_order_id: 182
timestamp: 394560763902208, price: 993.493, quantity: 77, buyer_order_id: 164, seller_order_id: 182
timestamp: 394560818024875, price: 990.989, quantity: 373, buyer_order_id: 183, seller_order_id: 182
timestamp: 394560818035208, price: 1000.91, quantity: 101, buyer_order_id: 183, seller_order_id: 178
timestamp: 394560818037375, price: 1002.63, quantity: 82, buyer_order_id: 183, seller_order_id: 174
timestamp: 394560873249916, price: 1002.63, quantity: 31, buyer_order_id: 184, seller_order_id: 174
timestamp: 394560927052208, price: 1002.63, quantity: 100, buyer_order_id: 185, seller_order_id: 174
timestamp: 394561088419958, price: 1002.63, quantity: 89, buyer_order_id: 188, seller_order_id: 174
timestamp: 394561088431458, price: 1006.53, quantity: 37, buyer_order_id: 188, seller_order_id: 177
timestamp: 394561249632208, price: 997.438, quantity: 494, buyer_order_id: 191, seller_order_id: 190
timestamp: 394561301307208, price: 996.707, quantity: 308, buyer_order_id: 187, seller_order_id: 192
timestamp: 394561354155666, price: 997.438, quantity: 371, buyer_order_id: 193, seller_order_id: 190
timestamp: 394561354164291, price: 997.77, quantity: 221, buyer_order_id: 193, seller_order_id: 189
timestamp: 394561460796750, price: 997.77, quantity: 33, buyer_order_id: 195, seller_order_id: 189
timestamp: 394561569811666, price: 997.558, quantity: 844, buyer_order_id: 197, seller_order_id: 196
timestamp: 394561569817416, price: 997.77, quantity: 123, buyer_order_id: 197, seller_order_id: 189
timestamp: 394561675869833, price: 997.77, quantity: 470, buyer_order_id: 199, seller_order_id: 189
timestamp: 394561782468208, price: 995.884, quantity: 386, buyer_order_id: 198, seller_order_id: 201
timestamp: 394561782479291, price: 995.511, quantity: 417, buyer_order_id: 194, seller_order_id: 201
timestamp: 394561837447125, price: 997.77, quantity: 103, buyer_order_id: 202, seller_order_id: 189
timestamp: 394561837457208, price: 998.402, quantity: 101, buyer_order_id: 202, seller_order_id: 200
timestamp: 394561891112125, price: 998.402, quantity: 174, buyer_order_id: 203, seller_order_id: 200
timestamp: 394561891122166, price: 1006.53, quantity: 434, buyer_order_id: 203, seller_order_id: 177
timestamp: 394562154208541, price: 992.585, quantity: 505, buyer_order_id: 208, seller_order_id: 204
timestamp: 394562205336250, price: 995.74, quantity: 95, buyer_order_id: 208, seller_order_id: 209
timestamp: 394562309945333, price: 999.285, quantity: 300, buyer_order_id: 211, seller_order_id: 206
timestamp: 394562417272375, price: 995.74, quantity: 110, buyer_order_id: 208, seller_order_id: 213
timestamp: 394562417282583, price: 995.365, quantity: 57, buyer_order_id: 210, seller_order_id: 213
timestamp: 394562468420208, price: 999.285, quantity: 602, buyer_order_id: 214, seller_order_id: 206
timestamp: 394562468430416, price: 1006.53, quantity: 31, buyer_order_id: 214, seller_order_id: 177
timestamp: 394562468432208, price: 1009.88, quantity: 332, buyer_order_id: 214, seller_order_id: 212
timestamp: 394562628741541, price: 1002.35, quantity: 30, buyer_order_id: 217, seller_order_id: 216
timestamp: 394562784964750, price: 1009.88, quantity: 217, buyer_order_id: 220, seller_order_id: 212
timestamp: 394562784976291, price: 1011.77, quantity: 579, buyer_order_id: 220, seller_order_id: 96
timestamp: 394562835338625, price: 1007.61, quantity: 200, buyer_order_id: 217, seller_order_id: 221
timestamp: 394562835350291, price: 1005.58, quantity: 107, buyer_order_id: 218, seller_order_id: 221
timestamp: 394562937029750, price: 1011.77, quantity: 313, buyer_order_id: 223, seller_order_id: 96
timestamp: 394563303727083, price: 1005.58, quantity: 657, buyer_order_id: 218, seller_order_id: 230
timestamp: 394563405557708, price: 1005.58, quantity: 180, buyer_order_id: 218, seller_order_id: 232
timestamp: 394563405569791, price: 1002.49, quantity: 202, buyer_order_id: 227, seller_order_id: 232
timestamp: 394563563548750, price: 1002.49, quantity: 470, buyer_order_id: 227, seller_order_id: 235
timestamp: 394563563556833, price: 1001.26, quantity: 60, buyer_order_id: 219, seller_order_id: 235
timestamp: 394563778270541, price: 1001.26, quantity: 337, buyer_order_id: 219, seller_order_id: 239
timestamp: 394563778277500, price: 1000.98, quantity: 280, buyer_order_id: 225, seller_order_id: 239
timestamp: 394563778279416, price: 1000.33, quantity: 324, buyer_order_id: 229, seller_order_id: 239
timestamp: 394563832790416, price: 1000.33, quantity: 69, buyer_order_id: 229, seller_order_id: 240
timestamp: 394563941244208, price: 1000.33, quantity: 576, buyer_order_id: 229, seller_order_id: 242
timestamp: 394563941256708, price: 999.481, quantity: 258, buyer_order_id: 222, seller_order_id: 242
timestamp: 394564155009041, price: 999.481, quantity: 622, buyer_order_id: 222, seller_order_id: 246
timestamp: 394564155023750, price: 999.36, quantity: 46, buyer_order_id: 233, seller_order_id: 246
timestamp: 394564260667875, price: 1006.08, quantity: 356, buyer_order_id: 248, seller_order_id: 247
timestamp: 394564313607166, price: 1006.08, quantity: 84, buyer_order_id: 249, seller_order_id: 247
timestamp: 394564313615208, price: 1006.56, quantity: 454, buyer_order_id: 249, seller_order_id: 244
timestamp: 394564471742541, price: 1004.05, quantity: 503, buyer_order_id: 251, seller_order_id: 252
timestamp: 394564526977041, price: 1000.43, quantity: 262, buyer_order_id: 250, seller_order_id: 253
timestamp: 394564581287708, price: 1000.43, quantity: 236, buyer_order_id: 250, seller_order_id: 254
timestamp: 394564632726333, price: 1001.25, quantity: 389, buyer_order_id: 255, seller_order_id: 252
timestamp: 394564687433041, price: 1003.8, quantity: 43, buyer_order_id: 255, seller_order_id: 256
timestamp: 394564687444875, price: 1000.43, quantity: 33, buyer_order_id: 250, seller_order_id: 256
timestamp: 394564687449666, price: 999.36, quantity: 178, buyer_order_id: 233, seller_order_id: 256
timestamp: 394564687454208, price: 995.806, quantity: 18, buyer_order_id: 228, seller_order_id: 256
timestamp: 394564738644375, price: 995.806, quantity: 262, buyer_order_id: 228, seller_order_id: 257
timestamp: 394564791810750, price: 995.631, quantity: 258, buyer_order_id: 258, seller_order_id: 257
timestamp: 394564791816416, price: 1006.56, quantity: 35, buyer_order_id: 258, seller_order_id: 244
timestamp: 394564896467500, price: 1010.79, quantity: 78, buyer_order_id: 259, seller_order_id: 260
timestamp: 394564951682083, price: 1007.3, quantity: 28, buyer_order_id: 261, seller_order_id: 260
timestamp: 394565055097791, price: 995.311, quantity: 899, buyer_order_id: 234, seller_order_id: 263
timestamp: 394565108424333, price: 995.311, quantity: 92, buyer_order_id: 234, seller_order_id: 264
timestamp: 394565108434458, price: 995.3, quantity: 575, buyer_order_id: 245, seller_order_id: 264
timestamp: 394565217107541, price: 1001.61, quantity: 496, buyer_order_id: 266, seller_order_id: 262
timestamp: 394565270427666, price: 1001.61, quantity: 128, buyer_order_id: 267, seller_order_id: 262
timestamp: 394565270437375, price: 1007.3, quantity: 105, buyer_order_id: 267, seller_order_id: 260
timestamp: 394565434262333, price: 1001.54, quantity: 156, buyer_order_id: 269, seller_order_id: 270
timestamp: 394565539404833, price: 997.968, quantity: 544, buyer_order_id: 271, seller_order_id: 272
timestamp: 394565594665250, price: 1006.88, quantity: 734, buyer_order_id: 273, seller_order_id: 268
